,gene,ratio,snv_count,intersections_count
177,GATA3_HUMAN,0.07892777364110201,1343,106
178,GATA4_HUMAN,0.10682492581602374,337,36
179,GATA6_HUMAN,0.10743801652892562,242,26
180,GATD1_HUMAN,0.3780487804878049,82,31
181,GCM2_HUMAN,0.0,2,0
182,GCR_HUMAN,0.07201174204201449,10901,785
183,GFI1B_HUMAN,0.10344827586206896,29,3
184,GFI1_HUMAN,0.0,1,0
185,GLI2_HUMAN,0.0,6,0
186,GLI4_HUMAN,0.3333333333333333,6,2
187,GLIS1_HUMAN,0.07547169811320754,848,64
188,GLIS2_HUMAN,0.11320754716981132,212,24
189,GLIS3_HUMAN,0.05,160,8
190,GMEB1_HUMAN,0.13872832369942195,173,24
191,GMEB2_HUMAN,0.25,4,1
192,GRHL2_HUMAN,0.09054054054054055,740,67
193,HAND2_HUMAN,0.021491782553729456,791,17
194,HBP1_HUMAN,1.0,1,1
195,HCFC1_HUMAN,0.2905982905982906,585,170
196,HDAC1_HUMAN,0.09752066115702479,605,59
197,HDAC2_HUMAN,0.09742120343839542,349,34
198,HDAC3_HUMAN,0.20454545454545456,44,9
199,HDAC4_HUMAN,0.0,8,0
200,HDAC8_HUMAN,0.0,1,0
201,HDAC9_HUMAN,0.0,1,0
202,HDGF_HUMAN,0.05263157894736842,76,4
203,HDGR3_HUMAN,0.6666666666666666,3,2
204,HES1_HUMAN,0.07407407407407407,81,6
205,HES2_HUMAN,0.0,1,0
206,HEY1_HUMAN,0.25396825396825395,63,16
207,HHEX_HUMAN,0.0,2,0
208,HIC1_HUMAN,0.0945945945945946,74,7
209,HIF1A_HUMAN,0.16075156576200417,479,77
210,HIF3A_HUMAN,0.1326530612244898,98,13
211,HINFP_HUMAN,0.0,17,0
212,HIRA_HUMAN,0.18867924528301888,53,10
213,HLF_HUMAN,0.2094240837696335,191,40
214,HM20A_HUMAN,0.5,80,40
215,HM20B_HUMAN,0.7142857142857143,7,5
216,HMBX1_HUMAN,0.2,5,1
217,HME1_HUMAN,0.0,1,0
218,HMGB1_HUMAN,0.06896551724137931,29,2
219,HMGB2_HUMAN,0.6666666666666666,3,2
220,HMGX4_HUMAN,0.625,8,5
221,HNF1A_HUMAN,0.5789473684210527,19,11
222,HNF1B_HUMAN,0.0,4,0
223,HNF4A_HUMAN,0.41193297915815286,2447,1008
224,HNF4G_HUMAN,0.22033898305084745,59,13
225,HNRL1_HUMAN,1.0,1,1
226,HNRLL_HUMAN,0.08571428571428572,35,3
227,HNRPL_HUMAN,1.0,1,1
228,HOMEZ_HUMAN,0.4375,16,7
229,HSF1_HUMAN,0.0,13,0
230,HTF4_HUMAN,0.12142857142857143,980,119
231,HXB13_HUMAN,0.052854122621564484,946,50
232,HXB8_HUMAN,0.0,5,0
233,HXC5_HUMAN,0.15384615384615385,26,4
234,HXC9_HUMAN,0.0,4,0
235,ID3_HUMAN,0.1111111111111111,36,4
236,IKBZ_HUMAN,0.5,2,1
237,IKZF1_HUMAN,0.04989451476793249,9480,473
238,IKZF2_HUMAN,0.04627806222922411,5078,235
239,IKZF3_HUMAN,0.11538461538461539,182,21
240,IKZF5_HUMAN,0.5,6,3
241,ILF3_HUMAN,0.09543147208121827,985,94
242,ILK_HUMAN,0.0,2,0
243,ING2_HUMAN,0.5,2,1
244,ING5_HUMAN,0.0,2,0
245,INSM2_HUMAN,0.0625,16,1
246,INT11_HUMAN,0.14480408858603067,587,85
247,INT12_HUMAN,0.5,18,9
248,INT13_HUMAN,0.14342629482071714,251,36
249,INT3_HUMAN,0.3333333333333333,6,2
250,IRF1_HUMAN,0.0,7,0
251,IRF2_HUMAN,0.4375,16,7
252,IRF3_HUMAN,0.6666666666666666,3,2
253,IRF4_HUMAN,0.0764525993883792,327,25
254,IRF5_HUMAN,0.171875,128,22
255,IRF9_HUMAN,0.0,4,0
256,ISL1_HUMAN,0.005494505494505495,182,1
257,ITF2_HUMAN,0.02009646302250804,1244,25
258,JARD2_HUMAN,0.0,45,0
259,JMJD6_HUMAN,0.0,1,0
260,JUNB_HUMAN,0.10344827586206896,145,15
261,JUND_HUMAN,0.06517168885774352,1427,93
262,JUN_HUMAN,0.1457572066585465,2463,359
263,KAISO_HUMAN,0.057356608478802994,802,46
264,KAT7_HUMAN,0.5,2,1
265,KAT8_HUMAN,0.2,15,3
266,KDM1A_HUMAN,0.06231231231231231,1332,83
267,KDM2B_HUMAN,0.014388489208633094,278,4
268,KDM3A_HUMAN,1.0,1,1
269,KDM5A_HUMAN,0.22727272727272727,22,5
270,KDM5B_HUMAN,0.15566037735849056,212,33
271,KDM5C_HUMAN,0.4,5,2
272,KDM6A_HUMAN,0.1277258566978193,963,123
273,KLF10_HUMAN,0.12,75,9
274,KLF11_HUMAN,0.24096385542168675,83,20
275,KLF13_HUMAN,0.6666666666666666,3,2
276,KLF14_HUMAN,0.5,2,1
277,KLF16_HUMAN,0.4444444444444444,9,4
278,KLF17_HUMAN,0.15151515151515152,33,5
279,KLF1_HUMAN,0.1686746987951807,166,28
280,KLF5_HUMAN,0.27598566308243727,279,77
281,KLF6_HUMAN,1.0,1,1
282,KLF7_HUMAN,0.125,8,1
283,KLF8_HUMAN,0.14285714285714285,63,9
284,KLF9_HUMAN,0.07142857142857142,98,7
285,KMT2A_HUMAN,0.148014440433213,554,82
286,KMT2B_HUMAN,0.1,50,5
287,KMT2C_HUMAN,0.10526315789473684,19,2
288,LCORL_HUMAN,0.25,8,2
289,LDB1_HUMAN,0.0,45,0
290,LEF1_HUMAN,0.13793103448275862,29,4
291,LEO1_HUMAN,0.0,7,0
292,LIN9_HUMAN,0.47058823529411764,17,8
293,LMBL2_HUMAN,0.07648183556405354,523,40
294,LMNA_HUMAN,0.00684931506849315,146,1
295,LMNB1_HUMAN,0.3333333333333333,9,3
296,LYL1_HUMAN,0.0,7,0
297,MAD3_HUMAN,0.6666666666666666,3,2
298,MAD4_HUMAN,0.5,2,1
299,MAFF_HUMAN,0.12,25,3
300,MAFG_HUMAN,0.0411522633744856,243,10
301,MAFK_HUMAN,0.07528957528957529,518,39
302,MAF_HUMAN,0.4383561643835616,73,32
303,MAON_HUMAN,0.025,40,1
304,MAOX_HUMAN,0.0,1,0
305,MAX_HUMAN,0.17541229385307347,667,117
306,MAZ_HUMAN,0.1415929203539823,113,16
307,MBD3_HUMAN,0.1111111111111111,9,1
